
units = {
	navy = {
		ship = { name = "CSS Fist" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Hammer" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Sickle" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Concord" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Lexington" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Benjamin" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Bringer" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Brutus" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Commune" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Worker" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Rally" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Freedom" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Vicky" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Factory" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS York" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Smedley" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Maurice" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Ruby" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Cardinal" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Maroon" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Flame" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Fuchsia" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Burgundy" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Alizarin" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Rosso Corsa" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Wine" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Rosewood" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Magma" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Lava" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Cerise" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Coquelicot" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Carnelian" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Terra Cotta" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Tuscan" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Vermilion" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Mahogany" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Oxblood" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Auburn" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Amaranth" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Fulvous" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Puce" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
	}
}
