From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
849;9887;sea;7678;-1;-1;-1;-1;;Dardanelles
1042;1269;sea;6819;-1;-1;-1;-1;;San Cristobal-Guadalcanal
1085;1269;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa 2
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska
1237;12120;sea;5660;-1;-1;-1;-1;;New Caledonia 2
1269;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda
1293;4269;sea;8751;-1;-1;-1;-1;;Surigao-Leyte
1311;4228;sea;2856;-1;-1;-1;-1;;San Bernardino Strait
1342;10279;sea;2737;-1;-1;-1;-1;;Java-Sumatra
8051;13552;sea;2691;-1;-1;-1;-1;;Qatar-Bahrain
1399;1515;sea;220;-1;-1;-1;-1;;Kurils 1
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto Rico-Virgin Islands
1460;12126;sea;812;-1;-1;-1;-1;;Tanahbala-Sumatra
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils 2
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
2489;13033;sea;7918;-1;-1;-1;-1;;Truk-Hall Islands
3260;3325;;2408;-1;-1;-1;-1;;Sjaelland-Fyn
3260;3374;;2408;-1;-1;2973;1625;;Sjaelland-SdFyn
3277;3325;;2408;-1;-1;-1;-1;;Fyn-Jylland
3305;3374;;2408;-1;-1;2973;1625;;Lolland-SdFyn
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima
4228;7307;sea;2876;-1;-1;-1;-1;;Ticao Pass
4252;1085;sea;5868;-1;-1;-1;-1;;Santa Isabel-Malaita
4268;4231;sea;5741;-1;-1;-1;-1;;New Caledonia 1
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua Levu
4288;1221;sea;2876;-1;-1;-1;-1;;Mindoro-Batangas
4306;4608;sea;5666;-1;-1;-1;-1;;Soerbaja-Madura
4450;13606;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
4647;13607;sea;7910;-1;-1;-1;-1;;Bahamas
5201;5209;sea;8913;-1;-1;-1;-1;;San Gregorio-Tierra del Fuego
6062;6205;sea;3590;-1;-1;-1;-1;;West Scottish-Strait
6322;185;sea;1885;-1;-1;-1;-1;;Courland-Ösel
6345;6287;sea;2382;-1;-1;-1;-1;;Skåne-Sjaelland
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
6891;3838;sea;5579;-1;-1;-1;-1;;Sardinia-Corsica
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
7195;4180;sea;8410;-1;-1;-1;-1;;Maui-Honolulu
7245;13607;sea;7910;-1;-1;-1;-1;;Bahamas
7251;4421;sea;7010;-1;-1;-1;-1;;New Britain-Latangai
7259;1393;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
7290;13080;sea;9081;-1;-1;-1;-1;;Samoan Islands
7293;4273;sea;2239;-1;-1;-1;-1;;Bali-Lombok
7293;10191;sea;2239;-1;-1;-1;-1;;Lombok-W.Nusa Tenggara
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
7385;12153;sea;8751;-1;-1;-1;-1;;Bohol-Cebu
7396;1401;sea;5615;-1;-1;-1;-1;;Bangka Belitung-Sumatra
7396;4211;sea;4225;-1;-1;-1;-1;;Bangka-Belitung
7413;1419;sea;5294;-1;-1;-1;-1;;Moluccas
7413;1437;sea;4899;-1;-1;-1;-1;;Halmahera-Bacan
7557;1574;sea;5390;-1;-1;-1;-1;;Buru-Seram
7557;7369;sea;4899;-1;-1;-1;-1;;Buru-Taliabu
7654;4273;sea;2239;-1;-1;-1;-1;;Java-Bali
7683;13613;sea;8642;-1;-1;-1;-1;;Canada
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
9498;9431;sea;8621;-1;-1;-1;-1;;Netherlands inlier
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch Strait
3722;568;sea;8282;-1;-1;-1;-1;;Isthmus of Perekop
9793;9845;sea;8871;-1;-1;-1;-1;;Menorca-Mallorca
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru Strait
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado
9965;7072;sea;8791;-1;-1;-1;-1;;Shikoku-Kansai
9990;4159;sea;13658;-1;-1;-1;-1;;Calabria-Sicily
10007;10122;sea;7226;3245;1256;3245;1261;;Rhodes-Turkey
10011;7110;sea;2708;4825;1219;-1;-1;;Tsushima-Kyushu
10048;7195;sea;8384;-1;-1;-1;-1;;Hawaii-Maui
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa 1
10141;1419;sea;5267;-1;-1;-1;-1;;Moluccas
10186;12153;sea;8751;-1;-1;-1;-1;;Negros-Cebu
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
10233;5205;sea;13155;-1;-1;-1;-1;;Makinac Bridge
10251;1329;sea;430;5112;550;5122;559;;Papua-New Britain
10254;13607;sea;7910;-1;-1;-1;-1;;Bahamas
10254;13621;sea;7006;-1;-1;-1;-1;;Bahamas
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
10302;1261;sea;2876;-1;-1;-1;-1;;Panay-Negros
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul
10342;1437;sea;4899;-1;-1;-1;-1;;Obi-Bacan
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11251;3325;;2408;2956;1628;2960;1629;;Fyn-SdrJylland
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea
11985;1025;sea;8791;-1;-1;-1;-1;;Japan-Kyushu
12126;1428;sea;812;-1;-1;-1;-1;;Tanahbala-Siberut
12148;10188;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea
12151;10219;sea;5414;-1;-1;-1;-1;;East Nusa Tenggara-Pulau Alor
12162;1298;sea;2124;-1;-1;-1;-1;;West Nusa Tenggara-East Nusa Tenggara
12184;12113;sea;5539;4423;650;4435;660;;Sumatra-Batam
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
12251;10321;sea;8313;-1;-1;-1;-1;;Andaman
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa Isabel
12444;10222;sea;5515;-1;-1;-1;-1;;Sulawesi-Pulau Buton
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
13009;177;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
13021;13022;sea;8673;-1;-1;-1;-1;;Gilbert Islands
13027;13028;sea;2735;-1;-1;-1;-1;;Ngulu-Yap
13029;13028;sea;2735;-1;-1;-1;-1;;Ulithi-Yap
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines 1
13042;13043;sea;2414;-1;-1;-1;-1;;Carolines 2
13055;13056;sea;8419;-1;-1;-1;-1;;Nukufetau-Funafuti
13056;13057;sea;8419;-1;-1;-1;-1;;Funafuti-Nukulaelae
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak
13606;4155;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin Islands
11735;11901;sea;5786;-1;-1;-1;-1;;Pola-Zara
11064;13631;sea;3195;-1;-1;-1;-1;;Scotland-Scapa Flow

#### Impassables

1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1811;7812;impassable;-1;-1;-1;-1;-1;;Fengtian-Mongolia
1811;10429;impassable;-1;-1;-1;-1;-1;;Fengtian-Mongolia
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1978;5082;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
1978;8090;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
1996;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;8041;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
2084;7519;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
2198;13733;impassable;-1;-1;-1;-1;-1;;Xinjiang-Tibet
2199;5169;impassable;-1;-1;-1;-1;-1;;Andes
2215;8251;impassable;-1;-1;-1;-1;-1;;Andes
2215;8229;impassable;-1;-1;-1;-1;-1;;Andes
3978;10363;impassable;-1;-1;-1;-1;-1;;Fengtian-Mongolia
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
4318;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
4391;12526;impassable;-1;-1;-1;-1;-1;;Pamir Mountains
4558;10826;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
4558;12653;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
4558;7519;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
4768;4828;impassable;-1;-1;-1;-1;-1;;Pamir Mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
4998;5082;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
5062;12119;impassable;-1;-1;-1;-1;-1;;Pamir Mountains
5062;4828;impassable;-1;-1;-1;-1;-1;;Pamir Mountains
5192;8253;impassable;-1;-1;-1;-1;-1;;Andes
7519;10821;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
7578;10429;impassable;-1;-1;-1;-1;-1;;Fengtian-Mongolia
7975;8090;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
8044;8090;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
8044;5064;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
8192;8251;impassable;-1;-1;-1;-1;-1;;Andes
10363;10499;impassable;-1;-1;-1;-1;-1;;Fengtian-Mongolia
10363;10429;impassable;-1;-1;-1;-1;-1;;Fengtian-Mongolia
10802;12884;impassable;-1;-1;-1;-1;-1;;Tibet-India
10802;7273;impassable;-1;-1;-1;-1;-1;;Tibet-India
10810;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10825;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
10992;8229;impassable;-1;-1;-1;-1;-1;;Andes
10992;650;impassable;-1;-1;-1;-1;-1;;Andes
12370;1766;impassable;-1;-1;-1;-1;-1;;Pamir Mountains
12730;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
12763;10826;impassable;-1;-1;-1;-1;-1;;Peshawar Mountains
12928;13502;impassable;-1;-1;-1;-1;-1;;Andes
12928;12914;impassable;-1;-1;-1;-1;-1;;Andes
13221;2161;impassable;-1;-1;-1;-1;-1;;Andes
13221;5118;impassable;-1;-1;-1;-1;-1;;Andes
13223;5118;impassable;-1;-1;-1;-1;-1;;Andes
13223;5169;impassable;-1;-1;-1;-1;-1;;Andes
13238;12914;impassable;-1;-1;-1;-1;-1;;Andes
13238;5192;impassable;-1;-1;-1;-1;-1;;Andes
13240;5192;impassable;-1;-1;-1;-1;-1;;Andes
13505;5192;impassable;-1;-1;-1;-1;-1;;Andes
13505;13506;impassable;-1;-1;-1;-1;-1;;Andes
13732;13733;impassable;-1;-1;-1;-1;-1;;Xinjiang-Tibet
13732;10802;impassable;-1;-1;-1;-1;-1;;Xinjiang-Tibet
13733;13374;impassable;-1;-1;-1;-1;-1;;Xinjiang-Tibet
4969;10482;impassable;-1;-1;-1;-1;-1;;Darien Gap
-1;-1;-1;-1;-1;-1;-1;-1;-1
